sku_code,product_name,category,quantity,quantity_share,quantity_cumulative_share,abc_quantity,order_frequency,frequency_share,frequency_cumulative_share,monthly_mean_quantity,monthly_std_quantity,demand_cv,monthly_nonzero_periods,xyz_low_sample_flag,xyz_frequency,abc_xyz_frequency,xyz_volatility,abc_xyz_volatility,fast_moving_flag,cbm_total,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg
2100129888,"Chảo Inox cao cấp Professional Tefal B9210455, 24cm",CW,163.5,0.0005803949344253668,0.9648768931449297,C,23,0.0011060882947003944,0.9023756852938353,23.357142857142858,59.61034186399921,2.55212472812229,3,0,Z,CZ,Z,CZ,0,3.8819250000000003,4,324,0.006075000000000001,0.75,3.0
2100118828,Bộ nồi Tefal Primary 16/20/24cm,CW,140.0,0.0004969742557770724,0.9686083415153892,C,6,0.00028854477253053765,0.973694334904299,20.0,51.1729094997213,2.558645474986065,2,0,Z,CZ,Z,CZ,0,6.5527000000000015,1,40,0.04680500000000001,6.0,6.0
7212000261,Nồi cơm điện /CFXB40FC33VN-75/Việt Nam,SDA,138.75,0.0004925369856362057,0.9691008785010254,C,12,0.0005770895450610753,0.949793209579687,19.821428571428573,52.00294748972454,2.6235721256077245,2,0,Z,CZ,Z,CZ,0,20.733263658000002,4,48,0.03756026025,4.5,18.0
2100118827,Bộ nồi Tefal Primary 16/18/20cm,CW,138.0,0.0004898746235516857,0.9695907531245771,C,8,0.0003847263633740502,0.9619601808213911,19.714285714285715,51.279346998293846,2.601126297014905,3,0,Z,CZ,Z,CZ,0,4.877334,1,56,0.035343,5.0,5.0
7115900972,"Chảo sâu lòng Supor Star H23110-SJ24 đáy từ, 24cm, vàng",CW,135.83333333333334,0.00048218335530751677,0.9700729364798846,C,12,0.0005770895450610753,0.9503702991247481,19.404761904761905,50.900580032245685,2.6230973758948695,2,0,Z,CZ,Z,CZ,0,6.0372,6,216,0.007453333333333334,0.8333333333333334,5.0
2100139604,Bộ 5 nồi chảo 2 cán rời Tefal - L827SB04,CW,133.0,0.00047212554298821884,0.9705450620228728,C,6,0.00028854477253053765,0.9739828796768295,19.0,50.269274910227224,2.6457513110645907,1,0,Z,CZ,Z,CZ,0,1.2876395,1,72,0.009681500000000001,5.0,5.0
4200009623,Quạt đứng ASIAVINA - VY619090 - Đen,Fan,116.0,0.0004117786690724315,0.9731263699728198,C,13,0.0006251803404828316,0.9479657593536602,16.571428571428573,30.32522131195497,1.8299702515834895,4,0,Z,CZ,Z,CZ,0,5.400032,1,30,0.046552,7.0,7.0
7211004888,Nồi cơm điện tử Delirice Plus 1.8L RK776B68- Xám,SDA,114.5,0.0004064539449033914,0.9735328239177231,C,18,0.000865634317591613,0.9267577185726656,16.357142857142858,42.39763582806857,2.5919952034627074,3,0,Z,CZ,Z,CZ,0,10.1367985,2,30,0.0446555,5.0,10.0
2100125800,"Bộ nồi chảo Inox cao cấp Cook Eat B922S784 (16, 20, 24, 28cm)",CW,111.0,0.0003940295885089646,0.9743208830947411,C,12,0.0005770895450610753,0.9515244782148703,15.857142857142858,41.51477075061586,2.618048605894694,2,0,Z,CZ,Z,CZ,0,4.9284,1,45,0.0444,6.0,6.0
2100136214,"Nồi Inox cao cấp Tefal Duetto Plus, 24cm",CW,110.5,0.0003922546804526179,0.9747131377751936,C,20,0.0009618159084351255,0.9177647398287975,15.785714285714286,40.016514448055425,2.534982815713918,3,0,Z,CZ,Z,CZ,0,6.387395000000001,2,90,0.029435,2.5,5.0
2100120953,Nồi Tefal Primary 20cm,CW,110.0,0.00039047977239627124,0.9751036175475899,C,21,0.0010099067038568817,0.9129075694912,15.714285714285714,39.38999147716878,2.5066358212743767,3,0,Z,CZ,Z,CZ,0,2.9025000000000003,2,144,0.0135,1.85,3.7
8010001360,Máy xay sinh tố Tefal DuraForce BL705DT0 - 1200W,SDA,109.0,0.00038692995628357787,0.9754905475038734,C,20,0.0009618159084351255,0.9168029239203623,15.571428571428571,41.19812755800577,2.645751311064591,1,0,Z,CZ,Z,CZ,0,5.33664,1,35,0.04896,6.0,6.0
2100133030,"Bộ 2 nồi Inox cao cấp Tefal Cook Eat B921S224, quánh 16cm/nồi 20cm",CW,105.0,0.00037273069183280436,0.9766229388438227,C,7,0.0003366355679522939,0.9683081658170629,15.0,39.68626966596886,2.6457513110645907,1,0,Z,CZ,Z,CZ,0,2.47296,1,84,0.023552,3.0,3.0
