sku_code,carton,loose,pallet,total_orders,pallet_share,carton_share,loose_share,avg_qty_per_order,baseline_pick_time_sec,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,ergonomic_penalty,abc_quantity,xyz_frequency,order_frequency,quantity,size_score_norm
2100114151,0,2,0,2,0.0,0.0,1.0,1.0,6.0,4,96,0.0145125,1.575,6.3,0,C,Z,2,2.0,1.117754094099298
2100114152,1,2,0,3,0.0,0.3333333333333333,0.6666666666666666,2.3333333333333335,8.0,4,120,0.014364,1.75,7.0,0,C,Z,3,7.0,1.1063166103457238
2100114153,0,1,0,1,0.0,0.0,1.0,1.0,6.0,2,80,0.021318,2.3,4.6,0,C,Z,1,1.0,1.641914334401987
2100114761,0,3,0,3,0.0,0.0,1.0,1.3333333333333333,6.0,4,280,0.00532,0.75,3.0,0,C,Z,3,4.0,0.40974689272063847
2100115594,0,4,0,4,0.0,0.0,1.0,0.9166666666666667,6.0,6,180,0.00729,0.7218333333333334,4.331,0,C,Z,4,3.666666666666667,0.5614764751754614
2100116143,0,3,0,3,0.0,0.0,1.0,1.0,6.0,2,60,0.019278,3.095,6.19,1,C,Z,3,3.0,1.4847933454639979
2100118139,0,10,0,10,0.0,0.0,1.0,1.2,6.0,6,180,0.009720000000000001,1.3135,7.881,0,C,Z,10,12.0,0.7486353002339486
2100118202,0,1,0,1,0.0,0.0,1.0,1.0,6.0,6,216,0.006156000000000001,0.8833333333333333,5.3,0,C,Z,1,1.0,0.4741356901481675
2100118301,1,10,0,11,0.0,0.09090909090909091,0.9090909090909091,2.212121212121212,6.545454545454545,6,180,0.009720000000000001,1.1835,7.101,0,C,Z,11,24.333333333333332,0.7486353002339486
2100118302,0,12,0,12,0.0,0.0,1.0,1.513888888888889,6.0,6,180,0.009720000000000001,1.0685,6.411,0,C,Z,12,18.166666666666668,0.7486353002339486
2100118303,0,7,0,7,0.0,0.0,1.0,1.2619047619047616,6.0,6,180,0.009720000000000001,1.1905,7.143,0,C,Z,7,8.833333333333334,0.7486353002339486
2100118304,1,12,0,13,0.0,0.07692307692307693,0.9230769230769231,1.2435897435897436,6.461538461538462,6,180,0.0063,0.8223333333333334,4.934,0,C,Z,13,16.166666666666668,0.4852265834849666
2100118816,5,25,0,30,0.0,0.16666666666666666,0.8333333333333334,2.658333333333333,7.0,4,168,0.0099875,1.25,5.0,0,C,Y,30,79.75,0.7692381750089055
2100118817,19,162,0,181,0.0,0.10497237569060773,0.8950276243093923,4.406077348066298,6.629834254143646,6,336,0.005264,0.7000000000000001,4.2,0,B,X,181,797.5,0.1237656352863726
