sku_code,sap_code,sap_code_2,updated_date,sku_row_no,type,com_code,product_name,unit,category,pcs_per_carton,carton_length_mm,carton_width_mm,carton_height_mm,pcs_per_pallet,cartons_per_layer,layers_per_pallet,loose_pcs_per_pallet,volume_m3,carton_volume_from_dims_m3,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,pallet_base_pcs_capacity,weight_conflict_flag,imputation_notes
4100000585,4100000585,4100000585,2020-05-22,115,Fan,VU1930F2,Quạt bàn - ROWENTA VU1930F2 - nâu,CÁI,Fan,1,440,210,370,40,10,4,0,,0.034188,0.034188,3.2,3.2,40,0,
4100000586,4100000586,4100000586,2020-05-22,116,Fan,VU1950F2,Quạt lửng - ROWENTA VU1950F2 - nâu,CÁI,Fan,1,395,395,410,24,6,4,0,,0.06397025,0.06397025,,,24,0,
4100000587,4100000587,4100000587,2020-05-22,117,Fan,VU4210F2,Quạt đứng - Rowenta - VU4210F2 - trắng,CÁI,Fan,1,545,235,465,31,9,3,4,,0.059554875,0.05955487500000001,7.0,7.0,27,0,
4100000588,4100000588,4100000588,2020-05-22,118,Fan,VU2120F2,Quạt bàn - Rowenta - VU2120F2 - nâu,CÁI,Fan,1,445,192,360,58,13,4,6,,0.0307584,0.0307584,,,52,0,
4100000589,4100000589,4100000589,2020-05-22,119,Fan,VU2110F2,Quạt bàn - Rowenta - VU2110F2 - nâu,CÁI,Fan,1,385,160,320,80,16,5,0,,0.019712,0.019712,,,80,0,
4100000590,4100000590,4100000590,2020-05-22,120,Fan,VU4110F2,Quạt đứng - Rowenta - VU4110F2 - đen,CÁI,Fan,1,540,220,470,31,9,3,4,,0.055836,0.055836,,,27,0,
4100000621,4100000621,4100000621,2020-05-22,121,Fan,VU2310F0,Quạt bàn - Rowenta - VU2310F0 - trắng,CÁI,Fan,1,390,190,320,75,15,5,0,,0.023712,0.023712,2.7,2.7,75,0,
4100000623,4100000623,4100000623,2020-05-22,122,Fan,VU4410F0,Quạt đứng - Rowenta - VU4410F0 - trắng,CÁI,Fan,1,540,230,460,31,9,3,4,,0.057132,0.057132,6.8,6.8,27,0,
4100000625,4100000625,4100000625,2020-05-22,123,Fan,VU4440F0,Quạt đứng - Rowenta - VU4440F0 - trắng,CÁI,Fan,1,545,230,455,31,9,3,4,,0.05703425,0.05703425,7.0,7.0,27,0,
4100000627,4100000627,4100000627,2020-05-22,124,Fan,VE1710B0,Quạt đứng ARNO - VE1710B0 - Đen,CÁI,Fan,1,550,220,560,27,,,0,,0.06776,0.06776,,,,0,
4100000628,4100000628,4100000628,2020-05-22,125,Fan,VF2255X0,Quạt đứng TFAL - VF2255X0 - đen,CÁI,Fan,1,560,230,550,22,,,0,,0.07084,0.07084,8.15,8.15,,0,
4100000631,4100000631,4100000631,2020-05-22,126,Fan,VF4410G0,Quạt đứng - TEFAL - VF4410G0 - trắng,CÁI,Fan,1,540,230,460,31,9,3,4,,0.057132,0.057132,7.0,7.0,27,0,
4200000001,4200000001,4200000001,2020-05-22,127,Fan,A16001-EV0,Quạt lửng ASIAvina - A16001-EV0 - Thiên thanh(KSD),CÁI,Fan,4,590,500,470,48,4,3,0,,0.13865,0.0346625,,,48,0,
4200000002,4200000002,4200000002,2020-05-22,128,Fan,A16001-LV0,Quạt lửng ASIAvina - A16001-LV0 - Lá mạ,CÁI,Fan,4,590,500,470,48,4,3,0,,0.13865,0.0346625,,,48,0,
4200000005,4200000005,4200000005,2020-05-22,129,Fan,A16002-LV0,Quạt lửng ASIAvina - A16002-LV0 - Lá mạ,CÁI,Fan,1,385,385,430,18,,,0,,0.06373675,0.06373675000000001,,,,0,
4200000008,4200000008,4200000008,2020-05-22,130,Fan,A16003-EV0,Quạt lửng ASIAvina - A16003-EV0 - Thiên thanh(KSD),CÁI,Fan,1,455,220,720,31,,,0,,0.072072,0.07207200000000001,,,,0,
4200000013,4200000013,4200000013,2020-05-22,131,Fan,A16007-EV0,Quạt lửng ASIAvina - A16007-EV0 - Thiên thanh,CÁI,Fan,1,460,240,470,34,10,3,4,,0.051888,0.051888,3.9,3.9,30,0,
4200000014,4200000014,4200000014,2020-05-22,132,Fan,A16007-LV0,Quạt lửng ASIAvina - A16007-LV0 - Lá mạ,CÁI,Fan,1,460,240,470,34,10,3,4,,0.051888,0.051888,3.2,3.2,30,0,
4200000015,4200000015,4200000015,2020-05-22,133,Fan,A16007-SV0,Quạt lửng ASIAvina - A16007-SV0 - Sữa(KSD),CÁI,Fan,1,460,240,470,34,10,3,4,,0.051888,0.051888,,,30,0,
4200000016,4200000016,4200000016,2020-05-22,134,Fan,A16007-XV0,Quạt lửng ASIAvina - A16007-XV0 - xám,CÁI,Fan,1,460,240,470,34,10,3,4,,0.051888,0.051888,3.9,3.9,30,0,
4200000019,4200000019,4200000019,2020-05-22,135,Fan,A16009-DV0,Quạt lửng ASIAvina - A16009-DV0 - Đen,CÁI,Fan,1,470,220,460,34,10,3,4,,0.047564,0.047564,,,30,0,
4200000020,4200000020,4200000020,2020-05-22,136,Fan,A16009-XV0,Quạt lửng ASIAvina - A16009-XV0 - Xám,CÁI,Fan,1,470,220,460,34,10,3,4,,0.047564,0.047564,3.2,3.2,30,0,
4200000022,4200000022,4200000022,2020-05-22,137,Fan,A16011-DV0,Quạt lửng ASIAvina - A16011-DV0 - Đen,CÁI,Fan,1,455,220,720,19,,,0,,0.072072,0.07207200000000001,5.5,5.5,,0,
4200000023,4200000023,4200000023,2020-05-22,138,Fan,A16012-SV0,Quạt lửng ASIAvina - A16012-SV0 - Sữa(KSD),CÁI,Fan,1,455,220,720,20,6,3,2,,0.072072,0.07207200000000001,,,18,0,
4200000026,4200000026,4200000026,2020-05-22,139,Fan,B08002-EV0,Quạt bàn ASIAvina - B08002-EV0 - Thiên thanh,CÁI,Fan,1,260,215,390,60,15,4,0,,0.021801,0.021801,,,60,0,
